Fold,R2_Train,R2_Val,MAE_Train,MAE_Val,RMSE_Train,RMSE_Val
1,0.9800886751467487,0.8452721635650544,0.1567261272700804,0.42643880494380937,0.2853680820116564,0.7215459445180502
2,0.9796819106629281,0.846446993817806,0.15612056963585086,0.4305486736313556,0.283658601358227,0.8353249873314258
3,0.9798210901923619,0.8409565880544596,0.15586796661296023,0.45725668926369273,0.2838248908303048,0.8226537729662059
4,0.9803265889005212,0.8355547311298455,0.15578234660745435,0.4429360811057551,0.28113413095715367,0.8141129333614989
5,0.980017896491475,0.8366985788229264,0.15609185713465937,0.4498447861776408,0.2824132457943978,0.8344236683611691
6,0.9798595303312829,0.8369727327543244,0.15610593665288722,0.44538072701560566,0.28434322933889017,0.8133361996835814
7,0.980070636113439,0.8240563276086865,0.15574831335099387,0.4443996365671207,0.28424643849552855,0.8067711500467315
8,0.9798891526976254,0.8740865597797894,0.1565124772454984,0.43037288558006775,0.2838281920701832,0.7214695513079009
9,0.9799497165295531,0.8390243097304668,0.1560405108486456,0.435840088295447,0.28470683085530174,0.7820887771786714
10,0.9797842954276238,0.8513891398253486,0.15595183186258907,0.4335665830469916,0.2850389019951977,0.7725195032765534
